,matches_played,wins,win_rate
Rising Pune Supergiant,16.0,10.0,0.625
Gujarat Titans,60.0,37.0,0.6166666666666667
Royal Challengers Bengaluru,30.0,18.0,0.6
Chennai Super Kings,250.0,142.0,0.568
Mumbai Indians,273.0,151.0,0.5531135531135531
Lucknow Super Giants,57.0,30.0,0.5263157894736842
Kolkata Knight Riders,259.0,135.0,0.5212355212355212
Delhi Capitals,100.0,51.0,0.51
Rajasthan Royals,229.0,114.0,0.4978165938864629
Royal Challengers Bangalore,234.0,114.0,0.48717948717948717
Sunrisers Hyderabad,191.0,93.0,0.4869109947643979
Punjab Kings,72.0,34.0,0.4722222222222222
Kings XI Punjab,186.0,85.0,0.45698924731182794
Gujarat Lions,29.0,13.0,0.4482758620689655
Kochi Tuskers Kerala,14.0,6.0,0.42857142857142855
Delhi Daredevils,158.0,67.0,0.4240506329113924
Deccan Chargers,75.0,29.0,0.38666666666666666
Rising Pune Supergiants,14.0,5.0,0.35714285714285715
Pune Warriors,45.0,12.0,0.26666666666666666
